city,area,profession,professionName,experience,education,wageStart,wageEnd,companyName,companyType,companySize,industry,tags,welfare,url,submitTime
北京,朝阳区,前端工程师,高级前端开发工程师,3-5年,本科,15,22,酷玩实验室,A轮,50-150人,新媒体,新媒体; Vue,“年轻团队 季度调薪 上升空间”,https://www.lagou.com/jobs/8341770.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,酒仙桥,前端工程师,前端开发工程师-react,3-5年,本科,22,27,360数科,上市公司,500-2000人,科技金融,Vue,“大平台机会 晋升空间 同事友爱”,https://www.lagou.com/jobs/8648287.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,亮马桥,前端工程师,前端工程师（H5）,1-3年,本科,11,17,妙健康,C轮,500-2000人,人工智能服务,在线医疗; 医疗、保健、美容; 移动端; HTML5; Vue,“六险一金 试用期全薪 福利健全 平台佳”,https://www.lagou.com/jobs/8740029.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,太阳宫,前端工程师,高级前端开发工程师,3-5年,本科,20,40,老虎集团,上市公司,500-2000人,科技金融,科技金融; Web前端; React,“纳斯达克上市 六险一金 加班少 双休”,https://www.lagou.com/jobs/8793047.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,海淀区,前端工程师,中高级web前端工程师（北京）,3-5年,本科,13,26,博思致新,上市公司,2000人以上,软件服务、咨询、IT技术服务、咨询,Vue; VueX,“股票期权、补充医疗、技术新、团队nice、少加班”,https://www.lagou.com/jobs/8797965.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,双榆树,前端工程师,前端开发工程师-电商业务,3-5年,本科,25,50,字节跳动,D轮及以上,2000人以上,内容资讯、短视频,扁平管理;     弹性工作;     就近租房补贴;     六险一金,“六险一金、免费三餐、扁平管理”,https://www.lagou.com/jobs/7525678.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,海淀区,前端工程师,高级前端开发工程师,1-3年,本科,15,30,天天乐学,A轮,150-500人,在线教育,Javascript,“创新市场；快速增长；十四薪；”,https://www.lagou.com/jobs/7155008.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,海淀区,前端工程师,web前端开发工程师,3-5年,本科,12,24,海乂知,A轮,50-150人,数据服务、咨询、人工智能服务,人工智能服务; 软件服务、咨询; Vue,“五险一金、扁平管理、迅速成长、零食下午茶”,https://www.lagou.com/jobs/8580418.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,朝阳区,前端工程师,前端开发,3-5年,本科,15,22,法本信息,上市公司,2000人以上,人工智能服务、IT技术服务、咨询,Web前端; Vue; React,“六险一金 绩效奖金 团建活动”,https://www.lagou.com/jobs/8736166.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,定福庄,前端工程师,中高级前端开发工程师,3-5年,本科,25,50,好大夫在线,D轮及以上,500-2000人,在线医疗,HTML5; Javascript,“五险一金、个性化发展道路”,https://www.lagou.com/jobs/6491282.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,朝阳区,前端工程师,高级前端开发工程师,3-5年,本科,18,28,高灯科技,B轮,500-2000人,软件服务、咨询、工具类产品,Angular; Vue,“五险一金 周末双休”,https://www.lagou.com/jobs/8788879.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,海淀区,前端工程师,web前端开发工程师,3-5年,本科,18,25,思图场景,A轮,50-150人,人工智能、企业服务,Vue,“行业前景好、技术新”,https://www.lagou.com/jobs/8825052.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,昌平区,前端工程师,web前端开发,3-5年,本科,15,22,云炻科技,A轮,15-50人,软件服务、咨询、数据服务、咨询、在线教育,软件服务、咨询; 物联网; HTML; CSS; Vue,“六险一金、福利超多、同事nice、竞争薪酬”,https://www.lagou.com/jobs/8808598.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,东城区,前端工程师,前端开发,3-5年,本科,15,30,新片场,D轮及以上,150-500人,新媒体,Web前端; React; Node.js,“技术大牛”,https://www.lagou.com/jobs/7756970.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,万寿寺,前端工程师,中级前端工程师-学信网可查,3-5年,本科,12,20,广通软件,上市公司,500-2000人,IT技术服务、咨询,前端开发; Javascript,“五险一金季度调薪年终奖团建节日礼品体检”,https://www.lagou.com/jobs/6219967.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,海淀区,前端工程师,高级/资深前端开发工程师 (MJ011092),3-5年,本科,20,40,作业帮,D轮及以上,2000人以上,在线教育,Node.js; Web前端; 大数据平台,“免费三餐、七险一金、14薪、9点打车报销”,https://www.lagou.com/jobs/8617888.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,中关村,前端工程师,web前端开发工程师,3-5年,本科,20,40,好未来,上市公司,2000人以上,在线教育,上市公司;     领军企业;     五险一金;     住福计划,“大牛云集”,https://www.lagou.com/jobs/7712506.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,海淀区,前端工程师,Web前端研发工程师  (MJ000064),3-5年,本科,15,30,小冰,A轮,150-500人,人工智能服务,前端开发,“弹性工作制；五险一金、补充商业保险、餐补等”,https://www.lagou.com/jobs/7836274.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,海淀区,前端工程师,前端开发工程师（数据组）,3-5年,本科,20,35,闪送,D轮及以上,500-2000人,物流平台,Vue; React; Angular; 移动端,“发展空间大、办公环境好”,https://www.lagou.com/jobs/8742049.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,五道口,前端工程师,web前端开发工程师（北京） (MJ000079),5-10年,本科,25,35,慧安金科,B轮,50-150人,人工智能、数据服务,vue; angular,“股票期权 扁平化 免费三餐 技术大牛”,https://www.lagou.com/jobs/8603938.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,四惠,前端工程师,react前端开发工程师,3-5年,本科,20,30,一网互通,A轮,50-150人,营销服务、咨询,Web前端,“补充医疗、全员Mac”,https://www.lagou.com/jobs/8507990.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,海淀区,前端工程师,Web 前端开发工程师,5-10年,本科,20,40,金山世游,上市公司,2000人以上,游戏,Web前端,“发展空间大、团队实力强”,https://www.lagou.com/jobs/7500602.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,昌平区,前端工程师,web前端开发专家,3-5年,本科,40,70,好未来,上市公司,2000人以上,在线教育,在线教育; Vue; React,“平台大；15.5薪；每年四次调薪窗口”,https://www.lagou.com/jobs/8492101.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
